ac_number,constituency,party_2021,votes_2021,region,reserved,party_2026,votes_2026,district,total_votes_2021,total_votes_2026,win_pct_2021,win_pct_2026,flipped,flip_direction,win_pct_change,second_votes_2026,margin_votes_2026,p21,p26
1,Gummidipundi,DMK,126452,Chennai Metro,GEN,TVK,94320,Tiruvallur,222069,232522,56.94,40.56,TRUE,DMK → TVK,-16.38,66375,27945,DMK,TVK
2,Ponneri,INC,94528,Chennai Metro,SC,TVK,110439,Tiruvallur,210354,226819,44.94,48.69,TRUE,INC → TVK,3.75,54671,55768,INC,TVK
3,Tiruttani,DMK,120314,Chennai Metro,GEN,AIADMK,89169,Tiruvallur,232624,238798,51.72,37.34,TRUE,DMK → AIADMK,-14.38,83376,5793,DMK,AIADMK
4,Thiruvallur,DMK,107709,Chennai Metro,GEN,TVK,92190,Tiruvallur,214243,226428,50.27,40.71,TRUE,DMK → TVK,-9.56,67430,24760,DMK,TVK
5,Poonamallee,DMK,149578,Chennai Metro,SC,TVK,161309,Tiruvallur,263736,308894,56.72,52.22,TRUE,DMK → TVK,-4.5,88569,72740,DMK,TVK
6,Avadi,DMK,150287,Chennai Metro,GEN,TVK,180384,Tiruvallur,300927,346005,49.94,52.13,TRUE,DMK → TVK,2.19,104073,76311,DMK,TVK
7,Maduravoyal,DMK,121298,Chennai Metro,GEN,TVK,141725,Tiruvallur,273870,293692,44.29,48.26,TRUE,DMK → TVK,3.97,80216,61509,DMK,TVK
8,Ambattur,DMK,114554,Chennai Metro,GEN,TVK,133339,Tiruvallur,240299,259986,47.67,51.29,TRUE,DMK → TVK,3.62,74558,58781,DMK,TVK
9,Madavaram,DMK,151485,Chennai Metro,GEN,TVK,190462,Tiruvallur,302700,361998,50.04,52.61,TRUE,DMK → TVK,2.57,95477,94985,DMK,TVK
10,Thiruvottiyur,DMK,88185,Chennai Metro,GEN,TVK,110067,Tiruvallur,199996,207088,44.09,53.15,TRUE,DMK → TVK,9.06,56503,53564,DMK,TVK
11,Dr. Radhakrishnan Nagar,DMK,95763,Chennai Metro,GEN,TVK,97800,Chennai,187027,181206,51.2,53.97,TRUE,DMK → TVK,2.77,48132,49668,DMK,TVK
12,Perambur,DMK,105267,Chennai Metro,GEN,TVK,120365,Chennai,200387,204384,52.53,58.89,TRUE,DMK → TVK,6.36,66650,53715,DMK,TVK
13,Kolathur,DMK,105522,Chennai Metro,GEN,TVK,82997,Chennai,173388,184051,60.86,45.09,TRUE,DMK → TVK,-15.77,74202,8795,DMK,TVK
