constituency,ac_number,candidate,party,votes,turnout,reserved,region,year,total_votes,vote_share_pct
Gummidipundi,1,GOVINDARAJAN T.J,DMK,126452,78.08,GEN,Chennai Metro,2021,222069,56.94
Gummidipundi,1,PRAKASH M,PMK,75514,78.08,GEN,Chennai Metro,2021,222069,34.0
Gummidipundi,1,USHA,NTK,11701,78.08,GEN,Chennai Metro,2021,222069,5.27
Gummidipundi,1,DILLIY K.M,DMDK,2576,78.08,GEN,Chennai Metro,2021,222069,1.16
Gummidipundi,1,None Of The Above,NOTA,1783,78.08,GEN,Chennai Metro,2021,222069,0.8
Gummidipundi,1,NAGARAJ S,BSP,1038,78.08,GEN,Chennai Metro,2021,222069,0.47
Gummidipundi,1,SARAVANAN V,IJK,816,78.08,GEN,Chennai Metro,2021,222069,0.37
Gummidipundi,1,SARAVANAN E,IND,532,78.08,GEN,Chennai Metro,2021,222069,0.24
Gummidipundi,1,DEVANATHAN R,IND,482,78.08,GEN,Chennai Metro,2021,222069,0.22
Gummidipundi,1,LAKSHMI R,IND,374,78.08,GEN,Chennai Metro,2021,222069,0.17
Gummidipundi,1,PRAKASH K,IND,351,78.08,GEN,Chennai Metro,2021,222069,0.16
Gummidipundi,1,GOWTHAM J,Anaithu Makkal Arasiyal Katchi,254,78.08,GEN,Chennai Metro,2021,222069,0.11
Gummidipundi,1,PRAKASH M,IND,196,78.08,GEN,Chennai Metro,2021,222069,0.09
Ponneri,2,DURAI. CHANDRASEKAR,INC,94528,78.2,SC,Chennai Metro,2021,210354,44.94
Ponneri,2,BALARAMAN. P,AIADMK,84839,78.2,SC,Chennai Metro,2021,210354,40.33
Ponneri,2,MAHESWARI. A,NTK,19027,78.2,SC,Chennai Metro,2021,210354,9.05
Ponneri,2,DESINGURAJAN. D,MNM,5394,78.2,SC,Chennai Metro,2021,210354,2.56
Ponneri,2,PON. RAJA,AMMK,2832,78.2,SC,Chennai Metro,2021,210354,1.35
Ponneri,2,None Of The Above,NOTA,1554,78.2,SC,Chennai Metro,2021,210354,0.74
Ponneri,2,BHAVANI ILAVENIL. J,BSP,1106,78.2,SC,Chennai Metro,2021,210354,0.53
Ponneri,2,ASHOK PRIYADARSHAN. S,IND,470,78.2,SC,Chennai Metro,2021,210354,0.22
Ponneri,2,SUGUMAR. K,IND,298,78.2,SC,Chennai Metro,2021,210354,0.14
Ponneri,2,VIJAYAKUMAR. V,Anna MGR Dravida Makkal Kalgam,190,78.2,SC,Chennai Metro,2021,210354,0.09
Ponneri,2,SAMBATH KUMAR.C.H,IND,116,78.2,SC,Chennai Metro,2021,210354,0.06
Tiruttani,3,S.Chandran,DMK,120314,78.76,GEN,Chennai Metro,2021,232624,51.72
Tiruttani,3,G.Hari,AIADMK,91061,78.76,GEN,Chennai Metro,2021,232624,39.15
Tiruttani,3,L.AKILA,NTK,12007,78.76,GEN,Chennai Metro,2021,232624,5.16
Tiruttani,3,D.Krishnamoorthi,DMDK,3928,78.76,GEN,Chennai Metro,2021,232624,1.69
Tiruttani,3,None Of The Above,NOTA,1665,78.76,GEN,Chennai Metro,2021,232624,0.72
Tiruttani,3,D.PAULRAJ,IND,889,78.76,GEN,Chennai Metro,2021,232624,0.38
Tiruttani,3,V.P.Vijayan,IND,768,78.76,GEN,Chennai Metro,2021,232624,0.33
Tiruttani,3,N.MAGENDIRAN,BSP,717,78.76,GEN,Chennai Metro,2021,232624,0.31
Tiruttani,3,M.Hari,IND,366,78.76,GEN,Chennai Metro,2021,232624,0.16
Tiruttani,3,M.D.Thanigai Malai,IJK,353,78.76,GEN,Chennai Metro,2021,232624,0.15
Tiruttani,3,A.J.Suresh,IND,182,78.76,GEN,Chennai Metro,2021,232624,0.08
Tiruttani,3,Shettu,IND,147,78.76,GEN,Chennai Metro,2021,232624,0.06
Tiruttani,3,Manikkam,All India Jananayaka Makkal Kazhagam,121,78.76,GEN,Chennai Metro,2021,232624,0.05
Tiruttani,3,Chandran,IND,60,78.76,GEN,Chennai Metro,2021,232624,0.03
Tiruttani,3,Chandran,IND,46,78.76,GEN,Chennai Metro,2021,232624,0.02
Thiruvallur,4,"RAAJENDRAN, V.G.",DMK,107709,77.2,GEN,Chennai Metro,2021,214243,50.27
Thiruvallur,4,"RAMANAH, BE VEE",AIADMK,85008,77.2,GEN,Chennai Metro,2021,214243,39.68
Thiruvallur,4,"PASUPATHY, P.",NTK,15028,77.2,GEN,Chennai Metro,2021,214243,7.01
Thiruvallur,4,"DOSS, D.",BSP,2329,77.2,GEN,Chennai Metro,2021,214243,1.09
Thiruvallur,4,None Of The Above,NOTA,1872,77.2,GEN,Chennai Metro,2021,214243,0.87
Thiruvallur,4,"GURU, N.",AMMK,1077,77.2,GEN,Chennai Metro,2021,214243,0.5
Thiruvallur,4,"RAJENDIRAN, G.",IND,388,77.2,GEN,Chennai Metro,2021,214243,0.18
Thiruvallur,4,"REVATHI, R.",IND,283,77.2,GEN,Chennai Metro,2021,214243,0.13
Thiruvallur,4,"BALA KRISHNAN, N.",IND,232,77.2,GEN,Chennai Metro,2021,214243,0.11
Thiruvallur,4,"KUMAR, E.",IND,133,77.2,GEN,Chennai Metro,2021,214243,0.06
Thiruvallur,4,"RAMANAN, R.",IND,97,77.2,GEN,Chennai Metro,2021,214243,0.05
Thiruvallur,4,"SASIKUMAR, J.",IND,87,77.2,GEN,Chennai Metro,2021,214243,0.04
Poonamallee,5,Krishnaswamy A,DMK,149578,72.99,SC,Chennai Metro,2021,263736,56.72
Poonamallee,5,Rajamannar S X,PMK,55468,72.99,SC,Chennai Metro,2021,263736,21.03
Poonamallee,5,Manimekalai A,NTK,29871,72.99,SC,Chennai Metro,2021,263736,11.33
Poonamallee,5,Revathi Manimegalai J,MNM,11927,72.99,SC,Chennai Metro,2021,263736,4.52
Poonamallee,5,Elumalai T.A.,AMMK,8805,72.99,SC,Chennai Metro,2021,263736,3.34
Poonamallee,5,Sathyamurthy A C,BSP,2891,72.99,SC,Chennai Metro,2021,263736,1.1
Poonamallee,5,None Of The Above,NOTA,2867,72.99,SC,Chennai Metro,2021,263736,1.09
Poonamallee,5,Ravikumar M,IND,448,72.99,SC,Chennai Metro,2021,263736,0.17
Poonamallee,5,Sivakumar S,IND,403,72.99,SC,Chennai Metro,2021,263736,0.15
Poonamallee,5,Velu S,IND,359,72.99,SC,Chennai Metro,2021,263736,0.14
Poonamallee,5,Boshya Gayathri M,My India Party,290,72.99,SC,Chennai Metro,2021,263736,0.11
Poonamallee,5,Rajesh P,IND,241,72.99,SC,Chennai Metro,2021,263736,0.09
Poonamallee,5,Venkatesan J,IND,240,72.99,SC,Chennai Metro,2021,263736,0.09
Poonamallee,5,Purushothaman B,IND,175,72.99,SC,Chennai Metro,2021,263736,0.07
Poonamallee,5,Dhasarathan R,IND,173,72.99,SC,Chennai Metro,2021,263736,0.07
Avadi,6,Nasar S M,DMK,150287,67.37,GEN,Chennai Metro,2021,300927,49.94
Avadi,6,Pandiarajan K,AIADMK,95012,67.37,GEN,Chennai Metro,2021,300927,31.57
Avadi,6,VIJAYALAKSHMI G,NTK,30087,67.37,GEN,Chennai Metro,2021,300927,10.0
Avadi,6,Udhayakumar V,MNM,17092,67.37,GEN,Chennai Metro,2021,300927,5.68
Avadi,6,None Of The Above,NOTA,2381,67.37,GEN,Chennai Metro,2021,300927,0.79
Avadi,6,Sankar N M,DMDK,1911,67.37,GEN,Chennai Metro,2021,300927,0.64
Avadi,6,Balasubramanian M,Tamil Nadu Ilangyar Katchi,1263,67.37,GEN,Chennai Metro,2021,300927,0.42
Avadi,6,CHARLES S,BSP,773,67.37,GEN,Chennai Metro,2021,300927,0.26
Avadi,6,Pandiarajan G,IND,360,67.37,GEN,Chennai Metro,2021,300927,0.12
Avadi,6,Jayakumar P,IND,300,67.37,GEN,Chennai Metro,2021,300927,0.1
Avadi,6,Shanavas Khan J,IND,231,67.37,GEN,Chennai Metro,2021,300927,0.08
Avadi,6,Nagaraj M,IND,198,67.37,GEN,Chennai Metro,2021,300927,0.07
Avadi,6,Dharani K,IND,187,67.37,GEN,Chennai Metro,2021,300927,0.06
Avadi,6,Sugumar M,IND,143,67.37,GEN,Chennai Metro,2021,300927,0.05
Avadi,6,Banumathi,My India Party,127,67.37,GEN,Chennai Metro,2021,300927,0.04
Avadi,6,Raman N,Tamilnadu Makkal Nalvazhvu Periyakkam,120,67.37,GEN,Chennai Metro,2021,300927,0.04
Avadi,6,Viswanathan R,MGR Makkal Katchi,108,67.37,GEN,Chennai Metro,2021,300927,0.04
Avadi,6,Chandrasekar.A,IND,105,67.37,GEN,Chennai Metro,2021,300927,0.03
Avadi,6,Venkatesan M,IND,95,67.37,GEN,Chennai Metro,2021,300927,0.03
Avadi,6,Durgaprasad G,IND,75,67.37,GEN,Chennai Metro,2021,300927,0.02
Avadi,6,Akilan T.M.,IND,72,67.37,GEN,Chennai Metro,2021,300927,0.02
Maduravoyal,7,GANAPATHY.K,DMK,121298,60.3,GEN,Chennai Metro,2021,273870,44.29
